Year,State_Name,County_Name,State_ID,County_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2021,Arkansas,Bradley,04,050,60904.51,0.9062,20.33,11700.94,0.97058,248.42,16210.01,0.93762,150,11223.1,1.02758,1163.42
2021,Arkansas,Calhoun,04,060,*,*,*,10405.01,0.83138,91.33,16260.81,0.98673,39.08,10684.72,1.00933,509.17
2021,Arkansas,Carroll,04,070,92749.24,0.95443,16.08,8768.28,0.88925,340.67,15867.54,0.93725,219.67,8973.62,0.92726,2537.83
2021,Arkansas,Chicot,04,080,96095.39,0.9155,26.75,13522.51,0.91787,210,19847.24,1.01893,175.67,10279.08,0.96153,974
2021,Arkansas,Clark,04,090,81356.23,1.00674,17.92,7054.84,0.82637,271.25,15592.39,1.01112,158.25,9217.74,0.94785,1882.08
2021,Arkansas,Clay,04,100,72676.53,1.09882,16.33,9774.33,0.91408,340,15849.05,0.9341,246.17,11156.95,0.99588,1675.08
2021,Arkansas,Cleburne,04,110,58558.35,0.88365,11.17,8949.96,0.87996,538.25,16086.84,0.98303,247.17,8948.08,0.9505,3994
2021,Arkansas,Cleveland,04,120,*,*,*,9300.25,0.80382,156.17,17929.76,0.94323,67.25,10384.96,1.02054,981.25
2021,Arkansas,Columbia,04,130,65084.89,0.91468,25.17,8300.66,0.78926,489.67,17407.65,0.93936,240.67,9527.41,0.94827,2124.58
2021,Arkansas,Conway,04,140,74313.72,0.96594,11.92,9829.66,0.87296,390.5,14630.38,0.94106,219.5,9440.41,0.91155,2123.92
2021,Arkansas,Craighead,04,150,66492.21,0.89235,81.92,10094.92,0.87369,1500.25,18723.05,0.94367,594.92,10622.57,0.98396,8268
2021,Arkansas,Crawford,04,160,73301.78,0.95426,34.75,8696.57,0.96087,850.83,18403.05,1.07147,352.67,9459.98,1.07361,4280.42
2021,Arkansas,Crittenden,04,170,82497.46,0.98294,83.83,9485.53,0.98407,753.08,16690.85,1.02868,443.42,9627.81,1.05258,2650.92
2021,Arkansas,Cross,04,180,85485.74,0.88174,19.42,9388.15,0.87396,280.42,17884.68,0.88309,155.33,9592.48,0.92796,1462.92
2021,Arkansas,Dallas,04,190,76720,0.93697,11.83,9461.42,0.97514,111.17,14997.84,0.9901,74.25,10342.04,0.93343,714.58
2021,Arkansas,Desha,04,200,113280.6,0.99032,14.17,11323.37,0.97441,216.08,15705.19,0.83363,154,9443.88,0.93659,1095.67
2021,Arkansas,Drew,04,210,54554.47,0.94417,19.17,10540.07,0.92114,350.83,20226.86,1.05519,186.83,10695.01,1.03108,1648.92
2021,Arkansas,Faulkner,04,220,78722.69,1.03197,68,9410.19,0.91071,1397.75,18229.65,1.00285,519.17,9872.67,0.98881,9964.92
2021,Arkansas,Franklin,04,230,77063.82,1.0989,7.58,9655.4,0.95792,249.5,18908.3,1.13049,159.17,9128.81,1.08773,1430.58
2021,Arkansas,Fulton,04,240,73230.56,0.91706,8.5,7977.45,0.89605,262,15641.24,0.93868,192.58,10748.95,0.99545,1400.25
2021,Arkansas,Garland,04,250,74916.16,1.02911,53.58,10655.81,1.02358,1372.5,19834.56,1.03052,642.33,10529.76,1.0336,12118.75
2021,Arkansas,Grant,04,260,96289.71,1.03403,15,10540.49,1.04716,267.25,22794.89,1.15112,80.67,10679.64,1.0823,1797.75
