Year,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2016,Arkansas,Lincoln,4,390,87455.82,1.01128,16.58,8838.08,0.98671,299.83,13724.14,0.95711,208.42,8327.94,1.00405,981.58
2016,Arkansas,"Little River",4,400,88744.51,0.99459,13.42,10872.34,1.01112,332.75,18768.16,1.06472,189.08,10630.05,1.04625,1359.75
2016,Arkansas,Logan,4,410,55720.06,0.85163,13.42,9030.84,0.79272,680,15199.25,0.86948,365,8693.01,0.89087,2130.5
2016,Arkansas,Lonoke,4,420,66864.83,1.02184,44.33,8900.23,0.92755,1526.25,16336.48,1.00972,531.08,8741.78,0.95515,5613
2016,Arkansas,Madison,4,430,54523.7,0.94742,9.17,6972.93,0.82661,371.17,14139.63,0.91806,186.83,8116.39,0.91959,1200.92
2016,Arkansas,Marion,4,440,*,*,*,9605.84,0.82596,547,18681.31,0.97097,246.17,8123.04,0.90029,1934.75
2016,Arkansas,Miller,4,450,62048.49,0.95569,44.42,9449.27,0.94077,996.08,15349.54,1.03178,419.42,9600.89,1.02255,3515.25
2016,Arkansas,Mississippi,4,460,66741.19,0.90301,85,8097.18,0.92079,1340.08,16627.12,0.99581,607.08,8601.3,0.97761,3130.33
2016,Arkansas,Monroe,4,470,59314.2,0.98843,14.08,5904.29,0.84665,264.5,12029.75,0.89215,215.92,8375.49,0.92448,862.75
2016,Arkansas,Montgomery,4,480,*,*,*,9193.23,0.86393,255.42,10352.16,0.79913,175.25,7475.15,0.93223,1197.75
2016,Arkansas,Nevada,4,490,*,*,*,9039.88,0.93274,278.42,15739.42,1.02495,148.83,8131.08,0.96302,880.58
2016,Arkansas,Newton,4,500,*,*,*,6152.87,0.73086,319.83,10929.7,0.83934,188.33,6243.14,0.87714,895.5
2016,Arkansas,Ouachita,4,510,63270.08,0.92802,48,6492.95,0.78747,721.83,14404.2,0.96711,353.25,8304.68,0.93382,2376.5
2016,Arkansas,Perry,4,520,*,*,*,8413.13,0.84888,302.92,12641.16,0.96717,109.42,8238.93,0.9774,1110.67
2016,Arkansas,Phillips,4,530,57151.95,0.908,58.92,8013.25,0.87654,622.5,11403.41,0.88674,434.25,8052.39,0.93425,1500.83
2016,Arkansas,Pike,4,540,58184.02,0.96236,11.08,9093.67,0.85355,377.58,20649.44,1.0501,184.58,8274.59,0.95531,1278.17
2016,Arkansas,Poinsett,4,550,83649.41,0.98283,24.25,8819.85,0.88964,856.5,16052.85,1.00571,487.67,9394.8,0.98359,2274
2016,Arkansas,Polk,4,560,61187.33,0.89946,15.92,6850.46,0.81963,583.75,13210.45,0.92383,330.08,8642.78,0.94017,2540.5
2016,Arkansas,Pope,4,570,72178.42,0.9006,43.58,8151.46,0.8725,1594,14384.95,1.0112,685.58,8413.04,0.93709,5263.75
2016,Arkansas,Prairie,4,580,47050.85,0.95632,12.5,9755.38,0.85335,277.42,14979.59,0.93465,186.25,8669.89,0.95715,1132.33
2016,Arkansas,Pulaski,4,590,68549.39,0.95964,519.42,8698.15,0.93392,7788.75,16887.63,1.01654,2642.42,8355.39,0.96942,32909.42
